"Nombre","CodigoInstitucion","Puntaje","Ano"
"MUNICIPALIDAD DE PURÉN","MU241","14,25","2014"
"MUNICIPALIDAD DE RENAICO","MU264","19,95","2014"
"MUNICIPALIDAD DE DIEGO DE ALMAGRO","MU080","15,38","2014"
"MUNICIPALIDAD DE EL BOSQUE","MU082","91,03","2014"
"MUNICIPALIDAD DE EL MONTE","MU084","95,00","2014"
"MUNICIPALIDAD DE ESTACIÓN CENTRAL","MU089","77,90","2014"
"MUNICIPALIDAD DE FREIRINA","MU092",",00","2014"
"MUNICIPALIDAD DE HUASCO","MU108","3,80","2014"
"MUNICIPALIDAD DE INDEPENDENCIA","MU111","91,09","2014"
"MUNICIPALIDAD DE LA GRANJA","MU121","50,00","2014"
"MUNICIPALIDAD DE LO PRADO","MU146","93,10","2014"
"MUNICIPALIDAD DE MAIPÚ","MU163","66,50","2014"
"MUNICIPALIDAD DE MARÍA ELENA","MU166","11,40","2014"
"MUNICIPALIDAD DE MEJILLONES","MU171","22,80","2014"
"MUNICIPALIDAD DE LA REINA","MU125","100,00","2014"
"MUNICIPALIDAD DE LAS CONDES","MU135","20,90","2014"
"MUNICIPALIDAD DE LO ESPEJO","MU145","11,40","2014"
"MUNICIPALIDAD DE MACUL","MU161","81,00","2014"
"MUNICIPALIDAD DE SAN MIGUEL","MU294","9,50","2014"
"MUNICIPALIDAD DE SAN RAMÓN","MU301","23,75","2014"
"MUNICIPALIDAD DE SANTIAGO","MU308","96,20","2014"
"MUNICIPALIDAD DE TILTIL","MU319","13,30","2014"
"MUNICIPALIDAD DE VITACURA","MU341","100,00","2014"
"MUNICIPALIDAD DE LIMACHE","MU139","8,55","2014"
"MUNICIPALIDAD DE QUINTERO","MU258","66,50","2014"
"MUNICIPALIDAD DE SAN ESTEBAN","MU284","30,40","2014"
"MUNICIPALIDAD DE SANTA MARÍA","MU307","100,00","2014"
"MUNICIPALIDAD DE SANTO DOMINGO","MU309","15,20","2014"
"MUNICIPALIDAD DE ANCUD","MU006","91,20","2014"
"MUNICIPALIDAD DE PUTAENDO","MU243","11,40","2014"
"MUNICIPALIDAD DE SAN ANTONIO","MU280","95,00","2014"
"MUNICIPALIDAD DE CALBUCO","MU020","100,00","2014"
"MUNICIPALIDAD DE CASTRO","MU031","100,00","2014"
"MUNICIPALIDAD DE CHAITÉN","MU036","91,20","2014"
"MUNICIPALIDAD DE CHONCHI","MU046","6,65","2014"
"MUNICIPALIDAD DE COCHAMÓ","MU049","96,20","2014"
"MUNICIPALIDAD DE CURACO DE VÉLEZ","MU074","14,25","2014"
"MUNICIPALIDAD DE DALCAHUE","MU079","97,15","2014"
"MUNICIPALIDAD DE FRESIA","MU093","95,25","2014"
"MUNICIPALIDAD DE VALPARAÍSO","MU332","25,65","2014"
"MUNICIPALIDAD DE FRUTILLAR","MU094","87,40","2014"
"MUNICIPALIDAD DE CHÉPICA","MU039","92,35","2014"
"MUNICIPALIDAD DE CHIMBARONGO","MU044","99,50","2014"
"MUNICIPALIDAD DE MARCHIHUE","MU165","91,20","2014"
"MUNICIPALIDAD DE MOSTAZAL","MU176","12,35","2014"
"MUNICIPALIDAD DE NANCAGUA","MU179","94,87","2014"
"MUNICIPALIDAD DE NAVIDAD","MU180","51,17","2014"
"MUNICIPALIDAD DE OLIVAR","MU188","69,22","2014"
"MUNICIPALIDAD DE PAILLACO","MU196","62,30","2014"
"MUNICIPALIDAD DE PALMILLA","MU199","15,20","2014"
"MUNICIPALIDAD DE PAREDONES","MU203","65,65","2014"
"MUNICIPALIDAD DE PERALILLO","MU213","95,70","2014"
"MUNICIPALIDAD DE PEUMO","MU216","3,80","2014"
"MUNICIPALIDAD DE PICHIDEGUA","MU218","90,30","2014"
"MUNICIPALIDAD DE PICHILEMU","MU219","96,88","2014"
"MUNICIPALIDAD DE PLACILLA","MU223","21,85","2014"
