commune,region,cut_com,url,date_review,time_review,forms,news,search,webmap,streetmap,transportation,socialmedia,email,phone,mobile,online_procedures,followup,digital_certificate,citizen_folder,payments,personalization,participation,pladeco,pagespeed_mobile,pagespeed_desktop
MARIA PINTO,METROPOLITANA,13504,https://www.mpinto.cl/,08/11/2021,2:11 PM,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,65,88
MELIPILLA,METROPOLITANA,13501,https://www.melipilla.cl/,08/11/2021,2:12 PM,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,20,56
ÑUÑOA,METROPOLITANA,13120,https://www.nunoa.cl/,09/11/2021,10:49 AM,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,22,45
PADRE HURTADO,METROPOLITANA,13604,http://portal.mph.cl/,09/11/2021,10:55 AM,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,38,52
PAINE,METROPOLITANA,13404,https://www.paine.cl/,09/11/2021,11:00 AM,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,9,45
PEDRO AGUIRRE CERDA,METROPOLITANA,13121,https://www.pedroaguirrecerda.cl/w15/,09/11/2021,11:03 AM,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,,
PEÑAFLOR,METROPOLITANA,13605,https://penaflor.cl/,09/11/2021,11:07 AM,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,46,51
PEÑALOLEN,METROPOLITANA,13122,https://www.penalolen.cl/,09/11/2021,11:20 AM,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,36,66
PIRQUE,METROPOLITANA,13202,https://pirque.cl/,09/11/2021,11:27 AM,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,33,59
PROVIDENCIA,METROPOLITANA,13123,https://providencia.cl/provi/site/edic/base/port/inicio.html,09/11/2021,11:30 AM,0,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,32,76
PUDAHUEL,METROPOLITANA,13124,https://www.mpudahuel.cl/sitio/,09/11/2021,11:35 AM,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,12,52
PUENTE ALTO,METROPOLITANA,13201,https://www.mpuentealto.cl/,09/11/2021,11:41 AM,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,4,12
QUILICURA,METROPOLITANA,13125,http://www.ww2.muniquilicura.cl/,09/11/2021,12:32 PM,0,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,16,46
QUINTA NORMAL,METROPOLITANA,13126,https://www.quintanormal.cl/,09/11/2021,3:02 PM,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,40,72
RECOLETA,METROPOLITANA,13127,https://www.recoleta.cl/?op=pcv,09/11/2021,3:09 PM,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,14,50
RENCA,METROPOLITANA,13128,https://renca.cl/,09/11/2021,3:12 PM,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,11,35
SAN BERNARDO,METROPOLITANA,13401,https://www.sanbernardo.cl/web/,09/11/2021,3:16 PM,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,41,66
SAN JOAQUIN,METROPOLITANA,13129,https://redsanjoaquin.cl/,09/11/2021,3:24 PM,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,14,21
SAN JOSE DE MAIPO,METROPOLITANA,13203,https://www.sanjosedemaipo.cl/,09/11/2021,3:19 PM,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,30,37
SAN MIGUEL,METROPOLITANA,13130,https://web.sanmiguel.cl/,09/11/2021,3:29 PM,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,5,15
SAN PEDRO,METROPOLITANA,13505,https://www.munisanpedro.cl/,09/11/2021,3:33 PM,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,26,57
SAN RAMON,METROPOLITANA,13131,http://www.municipalidadsanramon.cl/,09/11/2021,3:37 PM,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,72,85
SANTIAGO,METROPOLITANA,13101,https://www.munistgo.cl/,09/11/2021,3:41 PM,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,6,25
