commune,region,cut_com,url,date_review,time_review,forms,news,search,webmap,streetmap,transportation,socialmedia,email,phone,mobile,online_procedures,followup,digital_certificate,citizen_folder,payments,personalization,participation,pladeco,pagespeed_mobile,pagespeed_desktop
FRESIA,LOS LAGOS,10104,https://www.munifresia.cl/,12/11/2021,3:04 PM,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,33,81
FRUTILLAR,LOS LAGOS,10105,https://www.munifrutillar.cl/,12/11/2021,3:07 PM,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,35,67
FUTALEUFU,LOS LAGOS,10402,https://www.futaleufu.cl/,12/11/2021,3:10 PM,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,18,
HUALAIHUE,LOS LAGOS,10403,https://www.municipalidadhualaihue.cl/,12/11/2021,3:15 PM,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,70,86
LLANQUIHUE,LOS LAGOS,10107,https://llanquihue.cl/,12/11/2021,3:19 PM,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,26,53
LOS MUERMOS,LOS LAGOS,10106,https://www.muermos.cl/4.1/,12/11/2021,3:21 PM,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,27,61
MAULLIN,LOS LAGOS,10108,https://munimaullin.cl/principal/,12/11/2021,3:25 PM,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,43,51
OSORNO,LOS LAGOS,10301,https://www.municipalidadosorno.cl/,12/11/2021,3:29 PM,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,20,45
PALENA,LOS LAGOS,10404,https://municipalidadpalena.cl/,15/11/2021,11:10 AM,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,15,69
PUERTO MONTT,LOS LAGOS,10101,https://www.puertomontt.cl/,15/11/2021,11:14 AM,0,1,1,1,0,0,1,1,1,1,0,0,1,0,1,0,0,0,23,51
PUERTO OCTAY,LOS LAGOS,10302,https://munipuertoctay.cl/,15/11/2021,11:24 AM,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,59,83
PUERTO VARAS,LOS LAGOS,10109,https://ptovaras.cl/,15/11/2021,11:26 AM,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,61,59
PUQUELDON,LOS LAGOS,10206,https://www.munipuqueldon.cl/,15/11/2021,11:36 AM,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,59,88
PURRANQUE,LOS LAGOS,10303,http://www.purranque.cl/,15/11/2021,11:39 AM,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,29,22
PUYEHUE,LOS LAGOS,10304,https://municipalidaddepuyehue.cl/,15/11/2021,11:43 AM,1,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,17,19
QUEILEN,LOS LAGOS,10207,https://muniqueilen.cl/,15/11/2021,11:47 AM,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,13,44
QUELLON,LOS LAGOS,10208,https://muniquellon.cl/,15/11/2021,11:51 AM,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,12,73
QUEMCHI,LOS LAGOS,10209,https://www.muniquemchi.cl/,15/11/2021,11:55 AM,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,11,56
QUINCHAO,LOS LAGOS,10210,https://www.municipalidadquinchao.cl/cquinchao/,15/11/2021,11:59 AM,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,32,56
RIO NEGRO,LOS LAGOS,10305,http://www.rionegrochile.cl/www/,15/11/2021,12:03 PM,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,25,63
SAN JUAN DE LA COSTA,LOS LAGOS,10306,https://sanjuandelacosta.cl/,15/11/2021,12:09 PM,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,26,56
SAN PABLO,LOS LAGOS,10307,https://municipalidadsanpablo.cl/,15/11/2021,12:13 PM,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,40,49
AISEN,AISEN,11201,https://www.puertoaysen.cl/,15/11/2021,12:17 PM,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,56,95
CHILE CHICO,AISEN,11401,https://www.chilechico.cl/,15/11/2021,12:21 PM,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,27,48
CISNES,AISEN,11202,https://municipalidadcisnes.cl/,15/11/2021,12:25 PM,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,2,18
COCHRANE,AISEN,11301,https://municochrane.cl/,15/11/2021,12:31 PM,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,56,81
COYHAIQUE,AISEN,11101,https://www.coyhaique.cl/portalmunicipalidad/index.php,15/11/2021,12:33 PM,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,48,68
GUAITECAS,AISEN,11203,https://muniguaitecas.cl/,15/11/2021,12:37 PM,0,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,15,54
LAGO VERDE,AISEN,11102,https://comunalagoverde.cl/,15/11/2021,12:41 PM,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,19,22
O'HIGGINS,AISEN,11302,http://www.municipalidadohiggins.cl/,15/11/2021,12:45 PM,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,54,70
RIO IBAÑEZ,AISEN,11402,https://rioibanez.cl/,15/11/2021,1:02 PM,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,16,10
TORTEL,AISEN,11303,http://www.tortel.cl/,15/11/2021,1:07 PM,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,31,64
ANTARTICA,MAGALLANES,12202,sin sitio web,15/11/2021,1:10 PM,,,,,,,,,,,,,,,,,,,,
CABO DE HORNOS,MAGALLANES,12201,https://www.imcabodehornos.cl/,15/11/2021,1:11 PM,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,4,18
LAGUNA BLANCA,MAGALLANES,12102,https://www.mlagunablanca.cl/,15/11/2021,1:14 PM,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,41,76
NATALES,MAGALLANES,12401,https://portal.muninatales.cl/,15/11/2021,1:16 PM,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,20,58
PORVENIR,MAGALLANES,12301,https://www.muniporvenir.cl/,15/11/2021,1:23 PM,0,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,57,63
PRIMAVERA,MAGALLANES,12302,http://www.municipalidaddeprimavera.cl/,15/11/2021,1:27 PM,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,24,68
PUNTA ARENAS,MAGALLANES,12101,https://www.puntaarenas.cl/,15/11/2021,1:30 PM,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,53,44
RIO VERDE,MAGALLANES,12103,https://www.rioverde.cl/,15/11/2021,1:33 PM,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,47,55
SAN GREGORIO,MAGALLANES,12104,https://www.sangregorio.cl/,15/11/2021,1:36 PM,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,40,70
TIMAUKEL,MAGALLANES,12303,https://www.munitimaukel.cl/,15/11/2021,1:43 PM,0,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,6,61
TORRES DEL PAINE,MAGALLANES,12402,https://www.munitorresdelpaine.cl/,15/11/2021,1:45 PM,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,38,85
