cut,municipality,iadm40,iadm44,iadm41,iadm25,iadm33,isoc013,mocosoc,mcosoc,icar007,itpcm,itpc,itpr,itpu
4101,LA SERENA,11952452,17749393,25518193,23.6,43.82,1028,1,1,128.99,184716,244170,20414,200640
4102,COQUIMBO,19087043,12271632,24533453,34.42,36.82,1336,1,1,175.61,187106,250947,13180,214550
4103,ANDACOLLO,2017931,739870,1102661,31.67,55,292,1,1,37.84,8843,11730,1036,10008
4104,LA HIGUERA,1736716,753150,1561585,50,46.88,137,,,1.06,3280,4408,2948,1293
4105,PAIGUANO,2270468,184509,440495,45.71,51.43,74,1,0,3.11,3643,4645,4497,0
4106,VICUÑA,5217645,781169,2023072,29.82,45.61,329,0,1,3.86,22046,29402,10778,16993
4201,ILLAPEL,4444447,801834,1762864,28.28,46.46,,1,1,12.4,24528,32610,9796,21052
4202,CANELA,2125597,472322,1053271,29.55,50,328,,,4.33,7559,9516,7133,1960
4203,LOS VILOS,6160937,933141,1737466,23.75,50,,1,1,12.36,17509,23011,4288,17094
4204,SALAMANCA,3104715,2124497,3297445,34.25,47.95,725,1,1,8.35,21841,28772,12544,16803
4301,OVALLE,14771171,4507237,7906282,,,,1,1,31.27,89649,119936,23733,87539
4302,COMBARBALÁ,3100885,181593,555527,29.09,40,130,1,0,7.3,10968,13834,7324,5998
4303,MONTE PATRIA,5491759,419083,1147115,33,43,706,1,1,7.41,24252,32352,15413,15338
4304,PUNITAQUI,2213364,404555,738091,32.14,42.86,237,1,1,8.98,8976,12021,5108,5848
4305,RÍO HURTADO,1785602,225283,446721,52.17,56.52,156,1,1,2.07,3505,4372,4278,0
5101,VALPARAÍSO,21287696,17752892,28071554,21.49,39.69,2821,1,1,779.07,246898,313185,737,295918
5102,CASABLANCA,1850760,5540770,6721000,50.82,37.7,412,1,1,30.14,21843,28722,8865,18002
5103,CONCÓN,1832898,8591457,11264656,40.74,48.15,394,1,1,593.7,34682,45121,2743,39409
5104,JUAN FERNÁNDEZ,1595030,19099,73886,28.57,57.14,18,,,6.82,773,1010,926,0
5105,PUCHUNCAVÍ,2021402,3529001,4763651,34.21,47.37,263,1,1,65.63,15113,19688,2687,15859
5107,QUINTERO,9666699,2219614,3217107,25.86,55.17,454,1,1,238.79,26762,35341,5039,26884
5109,VIÑA DEL MAR,8678867,34696261,80217933,22.53,42.22,5207,1,1,2928.1,286285,357228,0,334248
5201,ISLA DE PASCUA,10349107,0,242851,31.82,56.82,91,1,0,49.23,6001,8073,428,7322
5301,LOS ANDES,6629975,3609606,5371959,30.15,50.74,437,1,1,54.15,51224,67583,5691,61017
5302,CALLE LARGA,1799754,764232,1006552,32.69,38.46,207,1,1,50.02,11911,16107,4141,10691
5303,RINCONADA,1407153,535851,4785631,40.54,54.05,147,0,1,89.51,8090,11010,2142,8065
5304,SAN ESTEBAN,2458122,634721,1218693,50.79,36.51,295,1,0,14.89,15145,20276,7483,11372
5401,LA LIGUA,5416289,1542437,2631447,36.45,48.6,511,,,32.17,28633,37411,9381,26009
5402,CABILDO,2697440,587545,1104900,29.49,57.69,664,1,1,14.13,15307,20554,7215,12173
5403,PAPUDO,1398981,1953705,2939909,23.73,54.24,121,1,0,36.86,4730,6118,942,5414
