"Nombre","CodigoInstitucion","Puntaje","Ano"
"MUNICIPALIDAD DE LLANQUIHUE","MU142","30,94","2013"
"MUNICIPALIDAD DE SAN JUAN DE LA COSTA","MU293","91,87","2013"
"MUNICIPALIDAD DE CABILDO","MU016",",00","2013"
"MUNICIPALIDAD DE SAN ROSENDO","MU302","33,56","2013"
"MUNICIPALIDAD DE PEÑALOLÉN","MU212","94,33","2013"
"MUNICIPALIDAD DE SAN PEDRO DE LA PAZ","MU299","16,88","2013"
"MUNICIPALIDAD DE ÑIQUÉN","MU185","26,84","2013"
"MUNICIPALIDAD DE PADRE HURTADO","MU193","78,97","2013"
"MUNICIPALIDAD DE VICHUQUÉN","MU333","38,92","2013"
"MUNICIPALIDAD DE CABO DE HORNOS Y ANTÁRTICA","MU017","20,92","2013"
"MUNICIPALIDAD DE RÍO HURTADO","MU272","34,91","2013"
"MUNICIPALIDAD DE CATEMU","MU032","84,99","2013"
"MUNICIPALIDAD DE LA CRUZ","MU118","35,98","2013"
"MUNICIPALIDAD DE CHILLÁN","MU042","49,56","2013"
"MUNICIPALIDAD DE HUALPÉN","MU105","73,43","2013"
"MUNICIPALIDAD DE QUEMCHI","MU248","12,36","2013"
"MUNICIPALIDAD DE NOGALES","MU183","21,47","2013"
"MUNICIPALIDAD DE COBQUECURA","MU048","22,25","2013"
"MUNICIPALIDAD DE RENGO","MU266","53,56","2013"
"MUNICIPALIDAD DE PINTO","MU220","40,61","2013"
"MUNICIPALIDAD DE HUALAIHUÉ","MU103","48,98","2013"
"MUNICIPALIDAD DE SAN BERNARDO","MU281","97,04","2013"
"MUNICIPALIDAD DE PALMILLA","MU199","37,77","2013"
"MUNICIPALIDAD DE CONSTITUCIÓN","MU064","15,91","2013"
"MUNICIPALIDAD DE POZO ALMONTE","MU226","72,27","2013"
"MUNICIPALIDAD DE TIERRA AMARILLA","MU318","5,17","2013"
"MUNICIPALIDAD DE LA PINTANA","MU124","81,24","2013"
"MUNICIPALIDAD DE LOS SAUCES","MU156","27,37","2013"
"MUNICIPALIDAD DE PUTRE","MU244","15,63","2013"
"MUNICIPALIDAD DE PUENTE ALTO","MU232","62,85","2013"
"MUNICIPALIDAD DE EMPEDRADO","MU087","78,22","2013"
"MUNICIPALIDAD DE PROVIDENCIA","MU228","100,00","2013"
"MUNICIPALIDAD DE SANTA MARÍA","MU307","69,47","2013"
"MUNICIPALIDAD DE VIÑA DEL MAR","MU340","71,40","2013"
"MUNICIPALIDAD DE CURARREHUE","MU076","9,13","2013"
"MUNICIPALIDAD DE HUASCO","MU108","10,71","2013"
"MUNICIPALIDAD DE FLORIDA","MU090","91,67","2013"
"MUNICIPALIDAD DE VILCÚN","MU336","59,11","2013"
"MUNICIPALIDAD DE COINCO","MU054","50,01","2013"
"MUNICIPALIDAD DE TUCAPEL","MU329","27,84","2013"
"MUNICIPALIDAD DE NATALES","MU234","40,36","2013"
"MUNICIPALIDAD DE LLAY LLAY","MU143","25,65","2013"
"MUNICIPALIDAD DE SANTIAGO","MU308","88,68","2013"
"MUNICIPALIDAD DE FRESIA","MU093","10,94","2013"
"MUNICIPALIDAD DE DIEGO DE ALMAGRO","MU080","29,69","2013"
"MUNICIPALIDAD DE FUTRONO","MU096","32,03","2013"
"MUNICIPALIDAD DE SAGRADA FAMILIA","MU278","39,78","2013"
"MUNICIPALIDAD DE NUEVA IMPERIAL","MU184","41,07","2013"
"MUNICIPALIDAD DE QUELLÓN","MU247","29,39","2013"
"MUNICIPALIDAD DE COMBARBALÁ","MU060","93,06","2013"
"MUNICIPALIDAD DE COCHRANE","MU050","41,62","2013"
"MUNICIPALIDAD DE HUALQUI","MU106","42,41","2013"
"MUNICIPALIDAD DE COIHUECO","MU053","60,06","2013"
"MUNICIPALIDAD DE RÁNQUIL","MU261","5,57","2013"
"MUNICIPALIDAD DE SANTA CRUZ","MU305","57,96","2013"
"MUNICIPALIDAD DE PERALILLO","MU213","8,33","2013"
"MUNICIPALIDAD DE QUINTERO","MU258","62,72","2013"
"MUNICIPALIDAD DE MACUL","MU161","49,56","2013"
"MUNICIPALIDAD DE CURACAVÍ","MU073","89,95","2013"
"MUNICIPALIDAD DE SAN PABLO","MU296","45,08","2013"
"MUNICIPALIDAD DE SANTA JUANA","MU306","34,79","2013"
"MUNICIPALIDAD DE RIO BUENO","MU270","9,01","2013"
"MUNICIPALIDAD DE CASABLANCA","MU030","17,27","2013"
"MUNICIPALIDAD DE ANTUCO","MU010","36,66","2013"
"MUNICIPALIDAD DE SAN RAMÓN","MU301","79,13","2013"
"MUNICIPALIDAD DE CUNCO","MU071","23,31","2013"
"MUNICIPALIDAD DE LICANTÉN","MU138","65,46","2013"
"MUNICIPALIDAD DE PLACILLA","MU223","29,72","2013"
"MUNICIPALIDAD DE SAN JOAQUÍN","MU291","97,73","2013"
"MUNICIPALIDAD DE OLLAGÜE","MU189","62,88","2013"
"MUNICIPALIDAD DE LAGO RANCO","MU128","21,74","2013"
"MUNICIPALIDAD DE MARIQUINA","MU168","74,52","2013"
"MUNICIPALIDAD DE O'HIGGINS","MU187","52,12","2013"
"MUNICIPALIDAD DE TIRÚA","MU321","18,86","2013"
"MUNICIPALIDAD DE OLIVAR","MU188","55,43","2013"
"MUNICIPALIDAD DE CHILE CHICO","MU041","6,38","2013"
"MUNICIPALIDAD DE PAINE","MU197","35,03","2013"
"MUNICIPALIDAD DE ERCILLA","MU088",",00","2013"
"MUNICIPALIDAD DE ILLAPEL","MU110","42,76","2013"
"MUNICIPALIDAD DE PEÑAFLOR","MU211","33,72","2013"
"MUNICIPALIDAD DE CHIMBARONGO","MU044","39,73","2013"
"MUNICIPALIDAD DE PIRQUE","MU221","77,29","2013"
"MUNICIPALIDAD DE ALGARROBO","MU001","65,53","2013"
"MUNICIPALIDAD DE SIERRA GORDA","MU310","40,79","2013"
"MUNICIPALIDAD DE PUERTO MONTT","MU233","81,37","2013"
"MUNICIPALIDAD DE RÍO VERDE","MU275","50,60","2013"
"MUNICIPALIDAD DE TOCOPILLA","MU322","19,09","2013"
"MUNICIPALIDAD DE SAN NICOLÁS","MU295","12,48","2013"
"MUNICIPALIDAD DE VALLENAR","MU331","50,01","2013"
"MUNICIPALIDAD DE PANGUIPULLI","MU200","81,22","2013"
"MUNICIPALIDAD DE EL TABO","MU086","46,77","2013"
"MUNICIPALIDAD DE SALAMANCA","MU279","75,93","2013"
"MUNICIPALIDAD DE TEMUCO","MU315","63,74","2013"
"MUNICIPALIDAD DE SAN CLEMENTE","MU283","16,76","2013"
"MUNICIPALIDAD DE COPIAPÓ","MU066","41,56","2013"
"MUNICIPALIDAD DE ESTACIÓN CENTRAL","MU089","88,00","2013"
"MUNICIPALIDAD DE FREIRINA","MU092","46,31","2013"
"MUNICIPALIDAD DE ROMERAL","MU276","26,45","2013"
"MUNICIPALIDAD DE JUAN FERNÁNDEZ","MU115","83,21","2013"
"MUNICIPALIDAD DE CHÉPICA","MU039","41,94","2013"
"MUNICIPALIDAD DE OVALLE","MU192","31,75","2013"
"MUNICIPALIDAD DE PELLUHUE","MU207","30,53","2013"
"MUNICIPALIDAD DE COQUIMBO","MU067","91,58","2013"
"MUNICIPALIDAD DE ALTO DEL CARMEN","MU004","5,60","2013"
"MUNICIPALIDAD DE MARÍA ELENA","MU166","31,37","2013"
"MUNICIPALIDAD DE SAN PEDRO DE ATACAMA","MU298","36,97","2013"
"MUNICIPALIDAD DE TALCA","MU312","94,35","2013"
"MUNICIPALIDAD DE PAILLACO","MU196","9,86","2013"
"MUNICIPALIDAD DE TORRES DEL PAINE","MU325","55,64","2013"
"MUNICIPALIDAD DE CUREPTO","MU077","47,06","2013"
"MUNICIPALIDAD DE GENERAL LAGOS","MU098","6,80","2013"
"MUNICIPALIDAD DE SAN IGNACIO","MU289","37,09","2013"
"MUNICIPALIDAD DE CARAHUE","MU028","22,52","2013"
"MUNICIPALIDAD DE PANQUEHUE","MU201","17,10","2013"
"MUNICIPALIDAD DE ALTO HOSPICIO","MU005","87,57","2013"
"MUNICIPALIDAD DE EL MONTE","MU084","47,09","2013"
"MUNICIPALIDAD DE LOS LAGOS","MU154","8,80","2013"
"MUNICIPALIDAD DE PUERTO VARAS","MU236","73,89","2013"
"MUNICIPALIDAD DE SAN ANTONIO","MU280","88,13","2013"
"MUNICIPALIDAD DE COCHAMÓ","MU049","14,10","2013"
"MUNICIPALIDAD DE PALENA","MU198","13,38","2013"
"MUNICIPALIDAD DE ALTO BÍOBÍO","MU003","4,82","2013"
"MUNICIPALIDAD DE LEBU","MU137","52,61","2013"
"MUNICIPALIDAD DE CALDERA","MU021","72,86","2013"
"MUNICIPALIDAD DE CAMIÑA","MU025","6,22","2013"
"MUNICIPALIDAD DE PUERTO SAAVEDRA","MU277","24,78","2013"
"MUNICIPALIDAD DE CARTAGENA","MU029","55,99","2013"
"MUNICIPALIDAD DE PURÉN","MU241","45,42","2013"
