"code","municipality","year","variable","value"
8101,"CONCEPCIÓN","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",40786372000
8102,"CORONEL","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",27328390000
8103,"CHIGUAYANTE","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",13225098000
8104,"FLORIDA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",2479760000
8105,"HUALQUI","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",4297154000
8106,"LOTA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",7247126000
8107,"PENCO","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",6998704000
8108,"SAN PEDRO DE LA PAZ","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",14992358000
8109,"SANTA JUANA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",3726679000
8110,"TALCAHUANO","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",29945571000
8111,"TOMÉ","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",9097775000
8112,"HUALPÉN","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",14333237000
8201,"LEBU","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",4114400000
8202,"ARAUCO","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",5722650000
8203,"CAÑETE","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",6153123000
8204,"CONTULMO","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",2011363000
8205,"CURANILAHUE","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",4970560000
8206,"LOS ÁLAMOS","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",3453872000
8207,"TIRÚA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",2874969000
8301,"LOS ÁNGELES","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",31565186000
8302,"ANTUCO","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",2175596000
8303,"CABRERO","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",6249528000
8304,"LAJA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",4250221000
8305,"MULCHÉN","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",4376855000
8306,"NACIMIENTO","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",4893056000
8307,"NEGRETE","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",2502490000
8308,"QUILACO","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",1761914000
8309,"QUILLECO","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",2062128000
8310,"SAN ROSENDO","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",1670642000
8311,"SANTA BÁRBARA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",3179534000
8312,"TUCAPEL","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",2745004000
8313,"YUMBEL","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",5769509000
8314,"ALTO BIOBÍO","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",2126143000
9101,"TEMUCO","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",42851668000
9102,"CARAHUE","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",4710249000
9103,"CUNCO","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",4239603000
9104,"CURARREHUE","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",1939992000
9105,"FREIRE","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",4855673000
9106,"GALVARINO","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",2923593000
9107,"GORBEA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",3105824000
9108,"LAUTARO","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",6186605000
9109,"LONCOCHE","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",4588671000
9110,"MELIPEUCO","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",1798271000
9111,"NUEVA IMPERIAL","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",6282800000
9112,"PADRE LAS CASAS","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",11210660000
9113,"PERQUENCO","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",2244361000
9114,"PITRUFQUÉN","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",3461823000
9115,"PUCÓN","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",7396240000
9116,"SAAVEDRA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",3297529000
9117,"TEODORO SCHMIDT","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",3205158000
9118,"TOLTÉN","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",2274699000
9119,"VILCÚN","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",4819659000
9120,"VILLARRICA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",8859856000
9121,"CHOLCHOL","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",2813373000
9201,"ANGOL","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",7654643000
9202,"COLLIPULLI","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",5227273000
9203,"CURACAUTÍN","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",4508335000
9204,"ERCILLA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",2016817000
9205,"LONQUIMAY","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",2752680000
9206,"LOS SAUCES","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",2011608000
9207,"LUMACO","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",2519366000
9208,"PURÉN","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",2905985000
9209,"RENAICO","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",2167727000
9210,"TRAIGUÉN","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",3513699000
9211,"VICTORIA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",5384663000
10101,"PUERTO MONTT","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",37398570000
10102,"CALBUCO","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",4781600000
10103,"COCHAMÓ","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",3334888000
10104,"FRESIA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",2539519000
10105,"FRUTILLAR","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",3012157000
10106,"LOS MUERMOS","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",2644618000
10107,"LLANQUIHUE","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",3293855000
10108,"MAULLÍN","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",2669076000
10109,"PUERTO VARAS","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",9049076000
10201,"CASTRO","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",7713332000
10202,"ANCUD","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",11317747000
10203,"CHONCHI","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",5769839000
10204,"CURACO DE VÉLEZ","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",2379680000
10205,"DALCAHUE","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",2776413000
10206,"PUQUELDÓN","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",2325120000
10207,"QUEILÉN","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",2741080000
10208,"QUELLÓN","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",4749908000
10209,"QUEMCHI","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",2639012000
10210,"QUINCHAO","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",9229339000
10301,"OSORNO","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",25300224000
10302,"PUERTO OCTAY","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",2067403000
10303,"PURRANQUE","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",3771906000
