"id","year","cut_reg","region","cut_prov","province","cut_com","commune","area","egi","egi_std"
"89",2016,6,"Libertador General Bernardo O'Higgins",61,"Cachapoal",6116,"Requínoa",677.18,NA,NA
"90",2016,6,"Libertador General Bernardo O'Higgins",61,"Cachapoal",6117,"San Vicente",484.76,NA,NA
"91",2016,6,"Libertador General Bernardo O'Higgins",62,"Cardenal Caro",6201,"Pichilemu",715.89,NA,NA
"92",2016,6,"Libertador General Bernardo O'Higgins",62,"Cardenal Caro",6202,"La Estrella",431.44,NA,NA
"93",2016,6,"Libertador General Bernardo O'Higgins",62,"Cardenal Caro",6203,"Litueche",613.64,NA,NA
"94",2016,6,"Libertador General Bernardo O'Higgins",62,"Cardenal Caro",6204,"Marchihue",657.65,NA,NA
"95",2016,6,"Libertador General Bernardo O'Higgins",62,"Cardenal Caro",6205,"Navidad",301.4,NA,NA
"96",2016,6,"Libertador General Bernardo O'Higgins",62,"Cardenal Caro",6206,"Paredones",572.51,NA,NA
"97",2016,6,"Libertador General Bernardo O'Higgins",63,"Colchagua",6301,"San Fernando",2321.18,NA,NA
"98",2016,6,"Libertador General Bernardo O'Higgins",63,"Colchagua",6302,"Chépica",477.33,NA,NA
"99",2016,6,"Libertador General Bernardo O'Higgins",63,"Colchagua",6303,"Chimbarongo",509.03,NA,NA
"100",2016,6,"Libertador General Bernardo O'Higgins",63,"Colchagua",6304,"Lolol",596.92,NA,NA
"101",2016,6,"Libertador General Bernardo O'Higgins",63,"Colchagua",6305,"Nancagua",151.21,NA,NA
"102",2016,6,"Libertador General Bernardo O'Higgins",63,"Colchagua",6306,"Palmilla",235.79,NA,NA
"103",2016,6,"Libertador General Bernardo O'Higgins",63,"Colchagua",6307,"Peralillo",283.03,NA,NA
"104",2016,6,"Libertador General Bernardo O'Higgins",63,"Colchagua",6308,"Placilla",144.4,NA,NA
"105",2016,6,"Libertador General Bernardo O'Higgins",63,"Colchagua",6309,"Pumanque",441.31,NA,NA
"106",2016,6,"Libertador General Bernardo O'Higgins",63,"Colchagua",6310,"Santa Cruz",393.53,NA,NA
"107",2016,7,"Maule",71,"Talca",7101,"Talca",232.05,NA,NA
"108",2016,7,"Maule",71,"Talca",7102,"Constitución",1339.62,NA,NA
"109",2016,7,"Maule",71,"Talca",7103,"Curepto",1070.81,NA,NA
"110",2016,7,"Maule",71,"Talca",7104,"Empedrado",565.5,NA,NA
"111",2016,7,"Maule",71,"Talca",7105,"Maule",243.05,NA,NA
"112",2016,7,"Maule",71,"Talca",7106,"Pelarco",330.93,NA,NA
"113",2016,7,"Maule",71,"Talca",7107,"Pencahue",956.23,NA,NA
"114",2016,7,"Maule",71,"Talca",7108,"Río Claro",434.71,NA,NA
"115",2016,7,"Maule",71,"Talca",7109,"San Clemente",4500.58,NA,NA
"116",2016,7,"Maule",71,"Talca",7110,"San Rafael",261.97,NA,NA
"117",2016,7,"Maule",72,"Cauquenes",7201,"Cauquenes",2126.16,NA,NA
"118",2016,7,"Maule",72,"Cauquenes",7202,"Chanco",528.01,NA,NA
"119",2016,7,"Maule",72,"Cauquenes",7203,"Pelluhue",369.56,NA,NA
"120",2016,7,"Maule",73,"Curicó",7301,"Curicó",1334.33,NA,NA
"121",2016,7,"Maule",73,"Curicó",7302,"Hualañé",629.36,NA,NA
"122",2016,7,"Maule",73,"Curicó",7303,"Licantén",273.01,NA,NA
"123",2016,7,"Maule",73,"Curicó",7304,"Molina",1516.82,NA,NA
"124",2016,7,"Maule",73,"Curicó",7305,"Rauco",306.73,NA,NA
"125",2016,7,"Maule",73,"Curicó",7306,"Romeral",1602.87,NA,NA
"126",2016,7,"Maule",73,"Curicó",7307,"Sagrada Familia",554.88,NA,NA
"127",2016,7,"Maule",73,"Curicó",7308,"Teno",618.52,NA,NA
"128",2016,7,"Maule",73,"Curicó",7309,"Vichuquén",452,NA,NA
"129",2016,7,"Maule",74,"Linares",7401,"Linares",1466.62,NA,NA
"130",2016,7,"Maule",74,"Linares",7402,"Colbún",2926.88,NA,NA
"131",2016,7,"Maule",74,"Linares",7403,"Longaví",1453.37,NA,NA
"132",2016,7,"Maule",74,"Linares",7404,"Parral",1638.81,NA,NA
"133",2016,7,"Maule",74,"Linares",7405,"Retiro",827.42,NA,NA
"134",2016,7,"Maule",74,"Linares",7406,"San Javier",1312.57,NA,NA
"135",2016,7,"Maule",74,"Linares",7407,"Villa Alegre",188.67,NA,NA
"136",2016,7,"Maule",74,"Linares",7408,"Yerbas Buenas",259.03,NA,NA
"137",2016,8,"Biobío",81,"Concepción",8102,"Coronel",281.27,5,5.54054054054054
"138",2016,8,"Biobío",81,"Concepción",8104,"Florida",605.89,5,5.54054054054054
"139",2016,8,"Biobío",81,"Concepción",8106,"Lota",114.69,1,1.10810810810811
"140",2016,8,"Biobío",81,"Concepción",8109,"Santa Juana",777.43,5,5.54054054054054
"141",2016,8,"Biobío",81,"Concepción",8110,"Talcahuano",92.55,5.75,6.37162162162162
"142",2016,8,"Biobío",82,"Arauco",8201,"Lebu",564.34,4,4.43243243243243
"143",2016,8,"Biobío",82,"Arauco",8202,"Arauco",959.62,4,4.43243243243243
"144",2016,8,"Biobío",82,"Arauco",8203,"Cañete",1088.57,5.25,5.81756756756757
"145",2016,8,"Biobío",82,"Arauco",8204,"Contulmo",638.95,5,5.54054054054054
"146",2016,8,"Biobío",82,"Arauco",8205,"Curanilahue",1002.76,4,4.43243243243243
"147",2016,8,"Biobío",82,"Arauco",8206,"Los Alamos",600.38,4.25,4.70945945945946
"148",2016,8,"Biobío",82,"Arauco",8207,"Tirúa",626.54,3.75,4.15540540540541
"149",2016,8,"Biobío",83,"Biobío",8301,"Los Angeles",1749.02,3.25,3.60135135135135
"150",2016,8,"Biobío",83,"Biobío",8302,"Antuco",1957.43,3.25,3.60135135135135
"151",2016,8,"Biobío",83,"Biobío",8303,"Cabrero",657.03,4,4.43243243243243
"152",2016,8,"Biobío",83,"Biobío",8304,"Laja",345.18,1.25,1.38513513513514
"153",2016,8,"Biobío",83,"Biobío",8305,"Mulchén",1922.24,3.75,4.15540540540541
"154",2016,8,"Biobío",83,"Biobío",8306,"Nacimiento",904.52,3.75,4.15540540540541
"155",2016,8,"Biobío",83,"Biobío",8307,"Negrete",155.33,5,5.54054054054054
"156",2016,8,"Biobío",83,"Biobío",8308,"Quilaco",1124.64,1.75,1.93918918918919
"157",2016,8,"Biobío",83,"Biobío",8309,"Quilleco",1118.68,3.75,4.15540540540541
"158",2016,8,"Biobío",83,"Biobío",8310,"San Rosendo",94.45,4,4.43243243243243
"159",2016,8,"Biobío",83,"Biobío",8311,"Santa Bárbara",1251.76,4.25,4.70945945945946
"160",2016,8,"Biobío",83,"Biobío",8312,"Tucapel",914.28,3.25,3.60135135135135
"161",2016,8,"Biobío",83,"Biobío",8313,"Yumbel",727.1,4.5,4.98648648648649
"162",2016,8,"Biobío",83,"Biobío",8314,"Alto Biobío",2124.77,2,2.21621621621622
"163",2016,9,"La Araucanía",91,"Cautín",9101,"Temuco",466.89,4.5,4.98648648648649
"164",2016,9,"La Araucanía",91,"Cautín",9102,"Carahue",1336.81,3.75,4.15540540540541
"165",2016,9,"La Araucanía",91,"Cautín",9103,"Cunco",1890.34,5,5.54054054054054
"166",2016,9,"La Araucanía",91,"Cautín",9104,"Curarrehue",1167.15,3.75,4.15540540540541
"167",2016,9,"La Araucanía",91,"Cautín",9105,"Freire",870.08,1.25,1.38513513513514
"168",2016,9,"La Araucanía",91,"Cautín",9106,"Galvarino",567.86,1.25,1.38513513513514
"169",2016,9,"La Araucanía",91,"Cautín",9107,"Gorbea",690.43,3.25,3.60135135135135
"170",2016,9,"La Araucanía",91,"Cautín",9108,"Lautaro",906.29,4,4.43243243243243
"171",2016,9,"La Araucanía",91,"Cautín",9109,"Loncoche",971.27,4,4.43243243243243
"172",2016,9,"La Araucanía",91,"Cautín",9110,"Melipeuco",1107.69,2.5,2.77027027027027
"173",2016,9,"La Araucanía",91,"Cautín",9111,"Nueva Imperial",730.73,2.75,3.0472972972973
"174",2016,9,"La Araucanía",91,"Cautín",9112,"Padre Las Casas",463.83,3.25,3.60135135135135
"175",2016,9,"La Araucanía",91,"Cautín",9113,"Perquenco",331.03,3.25,3.60135135135135
"176",2016,9,"La Araucanía",91,"Cautín",9114,"Pitrufquén",583.25,NA,NA
"177",2016,9,"La Araucanía",91,"Cautín",9115,"Pucón",1248.06,4.25,4.70945945945946
"178",2016,9,"La Araucanía",91,"Cautín",9116,"Saavedra",398.35,0.75,0.831081081081081
"179",2016,9,"La Araucanía",91,"Cautín",9117,"Teodoro Schmidt",656.17,3.5,3.87837837837838
"180",2016,9,"La Araucanía",91,"Cautín",9118,"Toltén",851.8,4,4.43243243243243
"181",2016,9,"La Araucanía",91,"Cautín",9119,"Vilcún",1416.48,3.5,3.87837837837838
"182",2016,9,"La Araucanía",91,"Cautín",9120,"Villarrica",1292.66,4.25,4.70945945945946
"183",2016,9,"La Araucanía",91,"Cautín",9121,"Cholchol",427.14,3.75,4.15540540540541
"184",2016,9,"La Araucanía",92,"Malleco",9201,"Angol",1197.32,3.25,3.60135135135135
"185",2016,9,"La Araucanía",92,"Malleco",9202,"Collipulli",1306.73,3.25,3.60135135135135
"186",2016,9,"La Araucanía",92,"Malleco",9203,"Curacautín",1658.66,4,4.43243243243243
"187",2016,9,"La Araucanía",92,"Malleco",9204,"Ercilla",498.91,3.75,4.15540540540541
"188",2016,9,"La Araucanía",92,"Malleco",9205,"Lonquimay",3928.81,3,3.32432432432432
"189",2016,9,"La Araucanía",92,"Malleco",9206,"Los Sauces",848.07,3.25,3.60135135135135
"190",2016,9,"La Araucanía",92,"Malleco",9207,"Lumaco",1109.98,2,2.21621621621622
"191",2016,9,"La Araucanía",92,"Malleco",9208,"Purén",463.96,4,4.43243243243243
"192",2016,9,"La Araucanía",92,"Malleco",9209,"Renaico",265.49,4,4.43243243243243
"193",2016,9,"La Araucanía",92,"Malleco",9210,"Traiguén",897.07,4.5,4.98648648648649
"194",2016,9,"La Araucanía",92,"Malleco",9211,"Victoria",1262.59,3.25,3.60135135135135
"195",2016,10,"Los Lagos",101,"Llanquihue",10101,"Puerto Montt",1670.35,NA,NA
"196",2016,10,"Los Lagos",101,"Llanquihue",10102,"Calbuco",587.38,NA,NA
