"id","year","cut_reg","region","cut_prov","province","cut_com","commune","area","egi","egi_std","ta","dai","sae","iadm40","iadm44","iadm41","iadm25","iadm33","isoc013","mocosoc","mcosoc","icar007","itpcm","itpc","itpr","itpu","internet_con"
"110",2021,7,"Maule",71,"Talca",7104,"Empedrado",565.5,4,NA,NA,NA,NA,1995069,151504,233815,42.86,46.43,64,"1","0",7.44,3211,4204,1134,3008,10
"111",2021,7,"Maule",71,"Talca",7105,"Maule",243.05,3.25,NA,NA,NA,NA,4789768,1271341,1726160,16.28,51.16,387,"0","0",241.37,40451,57447,10887,38834,3847
"112",2021,7,"Maule",71,"Talca",7106,"Pelarco",330.93,2.5,NA,NA,NA,NA,1586529,2794310,3118313,29.09,41.82,130,"0","0",27.05,6969,8979,5835,2587,76
"113",2021,7,"Maule",71,"Talca",7107,"Pencahue",956.23,3.75,NA,NA,NA,NA,1533247,1534224,1790691,25.45,52.73,118,"0","0",8.96,6743,8571,4807,3438,269
"114",2021,7,"Maule",71,"Talca",7108,"Río Claro",434.71,4,NA,NA,NA,NA,1857044,1554058,2485753,26.51,44.58,418,"1","0",33.93,11389,14623,9493,4413,77
"115",2021,7,"Maule",71,"Talca",7109,"San Clemente",4500.58,3.5,NA,NA,NA,NA,5892715,2046053,3021211,NA,NA,NA,NA,NA,10.16,34575,45755,21603,21666,3826
"116",2021,7,"Maule",71,"Talca",7110,"San Rafael",261.97,4,NA,NA,NA,NA,1746987,515274,801606,31.58,50,150,"1","0",37.22,7361,9825,4223,4968,118
"117",2021,7,"Maule",72,"Cauquenes",7201,"Cauquenes",2126.16,7.5,NA,NA,NA,NA,6389286,1021963,2147595,31.09,44.54,385,"1","0",20.68,33886,43962,7327,33114,7056
"118",2021,7,"Maule",72,"Cauquenes",7202,"Chanco",528.01,3.5,NA,NA,NA,NA,2410629,213028,403193,40.38,48.08,141,"0","1",17.6,7270,9327,5007,3921,129
"119",2021,7,"Maule",72,"Cauquenes",7203,"Pelluhue",369.56,4.25,NA,NA,NA,NA,5409780,403818,672696,46.55,60.34,220,"1","1",21.52,6168,7983,3490,4081,149
"120",2021,7,"Maule",73,"Curicó",7301,"Curicó",1334.33,4,NA,NA,NA,NA,11977979,9128887,13756727,20.86,48.13,NA,"1","1",121.4,122465,161223,16567,132569,40763
"121",2021,7,"Maule",73,"Curicó",7302,"Hualañé",629.36,3.5,NA,NA,NA,NA,2104960,590278,973764,34.85,48.48,177,"1","1",16.21,8038,10196,3914,5743,306
"122",2021,7,"Maule",73,"Curicó",7303,"Licantén",273.01,3.5,NA,NA,NA,NA,3250535,475972,766094,36.73,57.14,102,"1","0",25.54,5461,6973,1688,4965,324
"123",2021,7,"Maule",73,"Curicó",7304,"Molina",1516.82,3.25,NA,NA,NA,NA,5502611,1993246,2539557,37.04,52.78,778,"1","1",31.64,37418,49109,8658,37318,5110
"124",2021,7,"Maule",73,"Curicó",7305,"Rauco",306.73,3,NA,NA,NA,NA,1858198,715181,847790,34.15,46.34,248,"1","1",35.9,8573,11094,4953,5531,1084
"125",2021,7,"Maule",73,"Curicó",7306,"Romeral",1602.87,3.25,NA,NA,NA,NA,1713589,1695139,2281606,38.1,41.27,393,"1","0",9.98,12204,15946,8658,6529,1211
"126",2021,7,"Maule",73,"Curicó",7307,"Sagrada Familia",554.88,3.5,NA,NA,NA,NA,2477166,1598827,2315487,28.95,46.05,156,"1","0",35.24,15075,19348,10658,7886,267
"127",2021,7,"Maule",73,"Curicó",7308,"Teno",618.52,4,NA,NA,NA,NA,2815699,1587491,2102795,33.72,55.81,551,"1","1",49.38,23554,30519,19389,9532,1964
"128",2021,7,"Maule",73,"Curicó",7309,"Vichuquén",452,3.5,NA,NA,NA,NA,1458515,1489413,1748659,38.71,46.77,127,"1","0",10.31,3534,4390,3132,1190,42
"129",2021,7,"Maule",74,"Linares",7401,"Linares",1466.62,3.5,NA,NA,NA,NA,10189438,3695375,6347098,32.13,50.23,1163,"1","1",68.27,75801,100077,15930,77672,17880
"130",2021,7,"Maule",74,"Linares",7402,"Colbún",2926.88,NA,NA,NA,NA,NA,3158193,1062039,1520305,29.23,50.77,413,"0","0",7.68,16966,22279,11713,9052,269
"131",2021,7,"Maule",74,"Linares",7403,"Longaví",1453.37,3.5,NA,NA,NA,NA,4085549,670994,897995,26.25,37.5,1353,"1","0",22.36,25133,32516,21287,9247,1564
"132",2021,7,"Maule",74,"Linares",7404,"Parral",1638.81,3.5,NA,NA,NA,NA,5384859,1514270,2425848,26.61,36.7,374,"1","1",26.97,33495,44172,10843,30794,6673
"133",2021,7,"Maule",74,"Linares",7405,"Retiro",827.42,2.25,NA,NA,NA,NA,2943109,803561,1080256,21.43,51.79,420,"0","0",25.29,16136,20913,12911,7063,578
"134",2021,7,"Maule",74,"Linares",7406,"San Javier",1312.57,3.5,NA,NA,NA,NA,5911902,1431524,2635940,33.58,47.76,367,"1","0",37.19,36918,48830,12978,32569,3037
