commune,cut,sae_2020,lower_sae_2020,upper_sae_2020
Los Álamos,8206,0.169388346,0.130258426,0.208518265
Tirúa,8207,0.212959377,0.14959533,0.276323425
Los Ángeles,8301,0.134559569,0.108442354,0.160676783
Antuco,8302,0.147219421,0.113023427,0.181415415
Cabrero,8303,0.133531174,0.101362978,0.165699369
Laja,8304,0.135194148,0.100910576,0.169477721
Mulchén,8305,0.164833161,0.127364892,0.202301429
Nacimiento,8306,0.145779912,0.110317168,0.181242656
Negrete,8307,0.151694907,0.115839814,0.18755
Quilaco,8308,0.197034309,0.148962603,0.245106015
Quilleco,8309,0.183496863,0.143066257,0.22392747
San Rosendo,8310,0.182552944,0.137240353,0.227865535
Santa Bárbara,8311,0.196168893,0.15738542,0.234952366
Tucapel,8312,0.143573442,0.10968898,0.177457903
Yumbel,8313,0.164979058,0.126836949,0.203121166
Alto Biobío,8314,0.289270978,0.210365194,0.368176761
Temuco,9101,0.147907923,0.123648173,0.172167672
Carahue,9102,0.228699644,0.18843721,0.268962079
Cunco,9103,0.207448101,0.169720785,0.245175417
Curarrehue,9104,0.247621802,0.204635012,0.290608593
Freire,9105,0.18791645,0.149655804,0.226177097
Galvarino,9106,0.237840092,0.191687021,0.283993164
Gorbea,9107,0.190821492,0.151469176,0.230173807
Lautaro,9108,0.185294909,0.14808402,0.222505797
Loncoche,9109,0.168087984,0.132406836,0.203769132
Melipeuco,9110,0.183344384,0.145045468,0.221643299
Nueva Imperial,9111,0.199822554,0.158566723,0.241078385
Padre Las Casas,9112,0.188690111,0.153027354,0.224352868
Perquenco,9113,0.186787169,0.14594006,0.227634278
Pitrufquén,9114,0.159082138,0.123531075,0.194633201
Pucón,9115,0.152678199,0.116819698,0.188536701
Saavedra,9116,0.223172995,0.168884405,0.277461585
Teodoro Schmidt,9117,0.217883625,0.175864948,0.259902302
Toltén,9118,0.196242211,0.15227391,0.240210511
Vilcún,9119,0.172141345,0.134960706,0.209321985
Villarrica,9120,0.151386675,0.115149215,0.187624134
Cholchol,9121,0.233144816,0.18578576,0.280503873
Angol,9201,0.148699636,0.112067543,0.18533173
Collipulli,9202,0.196313909,0.157143574,0.235484244
Curacautín,9203,0.201199419,0.160675917,0.241722921
Ercilla,9204,0.23673104,0.190084869,0.283377212
Lonquimay,9205,0.224162264,0.173733367,0.274591161
Los Sauces,9206,0.1548463,0.121571651,0.188120949
Lumaco,9207,0.217249742,0.176735417,0.257764066
Purén,9208,0.215409882,0.175435615,0.255384149
Renaico,9209,0.178398159,0.134179805,0.222616514
Traiguén,9210,0.182149021,0.144299774,0.219998268
Victoria,9211,0.179196375,0.142078577,0.216314172
Puerto Montt,10101,0.104685852,0.084899373,0.124472332
Calbuco,10102,0.11275352,0.08212264,0.143384399
Cochamó,10103,0.170784334,0.123980425,0.217588243
Fresia,10104,0.190990085,0.151591336,0.230388834
Frutillar,10105,0.120791537,0.090282418,0.151300656
Los Muermos,10106,0.16554644,0.127912265,0.203180614
Llanquihue,10107,0.12322174,0.089631029,0.156812451
Maullín,10108,0.131328705,0.094933874,0.167723535
Puerto Varas,10109,0.084344561,0.056896282,0.11179284
Castro,10201,0.090291893,0.064720746,0.11586304
Ancud,10202,0.120603347,0.09107161,0.150135085
Chonchi,10203,0.132997538,0.100781243,0.165213834
Curaco De Vélez,10204,0.146271233,0.107732529,0.184809936
Dalcahue,10205,0.117942882,0.085500919,0.150384845
Puqueldón,10206,0.106785348,0.073309514,0.140261183
Queilén,10207,0.141217572,0.106968304,0.175466839
Quellón,10208,0.119381863,0.082812737,0.15595099
Quemchi,10209,0.100360637,0.070026303,0.130694972
Quinchao,10210,0.143017562,0.109474707,0.176560416
Osorno,10301,0.105270093,0.085907527,0.124632659
