"CUT_REG","REGION","CUT_PROV","PROVINCIA","CUT_COM","COMUNA","SUPERFICIE"
7,"Maule","074","Linares","07405","Retiro",827.42
7,"Maule","074","Linares","07406","San Javier",1312.57
7,"Maule","074","Linares","07407","Villa Alegre",188.67
7,"Maule","074","Linares","07408","Yerbas Buenas",259.03
8,"Biobío","081","Concepción","08102","Coronel",281.27
8,"Biobío","081","Concepción","08104","Florida",605.89
8,"Biobío","081","Concepción","08106","Lota",114.69
8,"Biobío","081","Concepción","08109","Santa Juana",777.43
8,"Biobío","081","Concepción","08110","Talcahuano",92.55
8,"Biobío","082","Arauco","08201","Lebu",564.34
8,"Biobío","082","Arauco","08202","Arauco",959.62
8,"Biobío","082","Arauco","08203","Cañete",1088.57
8,"Biobío","082","Arauco","08204","Contulmo",638.95
8,"Biobío","082","Arauco","08205","Curanilahue",1002.76
8,"Biobío","082","Arauco","08206","Los Alamos",600.38
8,"Biobío","082","Arauco","08207","Tirúa",626.54
8,"Biobío","083","Biobío","08301","Los Angeles",1749.02
8,"Biobío","083","Biobío","08302","Antuco",1957.43
8,"Biobío","083","Biobío","08303","Cabrero",657.03
8,"Biobío","083","Biobío","08304","Laja",345.18
8,"Biobío","083","Biobío","08305","Mulchén",1922.24
8,"Biobío","083","Biobío","08306","Nacimiento",904.52
8,"Biobío","083","Biobío","08307","Negrete",155.33
8,"Biobío","083","Biobío","08308","Quilaco",1124.64
8,"Biobío","083","Biobío","08309","Quilleco",1118.68
8,"Biobío","083","Biobío","08310","San Rosendo",94.45
8,"Biobío","083","Biobío","08311","Santa Bárbara",1251.76
8,"Biobío","083","Biobío","08312","Tucapel",914.28
8,"Biobío","083","Biobío","08313","Yumbel",727.1
8,"Biobío","083","Biobío","08314","Alto Biobío",2124.77
9,"La Araucanía","091","Cautín","09101","Temuco",466.89
9,"La Araucanía","091","Cautín","09102","Carahue",1336.81
9,"La Araucanía","091","Cautín","09103","Cunco",1890.34
9,"La Araucanía","091","Cautín","09104","Curarrehue",1167.15
9,"La Araucanía","091","Cautín","09105","Freire",870.08
9,"La Araucanía","091","Cautín","09106","Galvarino",567.86
9,"La Araucanía","091","Cautín","09107","Gorbea",690.43
9,"La Araucanía","091","Cautín","09108","Lautaro",906.29
9,"La Araucanía","091","Cautín","09109","Loncoche",971.27
9,"La Araucanía","091","Cautín","09110","Melipeuco",1107.69
9,"La Araucanía","091","Cautín","09111","Nueva Imperial",730.73
9,"La Araucanía","091","Cautín","09112","Padre Las Casas",463.83
9,"La Araucanía","091","Cautín","09113","Perquenco",331.03
9,"La Araucanía","091","Cautín","09114","Pitrufquén",583.25
9,"La Araucanía","091","Cautín","09115","Pucón",1248.06
9,"La Araucanía","091","Cautín","09116","Saavedra",398.35
9,"La Araucanía","091","Cautín","09117","Teodoro Schmidt",656.17
9,"La Araucanía","091","Cautín","09118","Toltén",851.8
9,"La Araucanía","091","Cautín","09119","Vilcún",1416.48
9,"La Araucanía","091","Cautín","09120","Villarrica",1292.66
9,"La Araucanía","091","Cautín","09121","Cholchol",427.14
9,"La Araucanía","092","Malleco","09201","Angol",1197.32
9,"La Araucanía","092","Malleco","09202","Collipulli",1306.73
9,"La Araucanía","092","Malleco","09203","Curacautín",1658.66
9,"La Araucanía","092","Malleco","09204","Ercilla",498.91
9,"La Araucanía","092","Malleco","09205","Lonquimay",3928.81
9,"La Araucanía","092","Malleco","09206","Los Sauces",848.07
9,"La Araucanía","092","Malleco","09207","Lumaco",1109.98
9,"La Araucanía","092","Malleco","09208","Purén",463.96
9,"La Araucanía","092","Malleco","09209","Renaico",265.49
9,"La Araucanía","092","Malleco","09210","Traiguén",897.07
9,"La Araucanía","092","Malleco","09211","Victoria",1262.59
10,"Los Lagos","101","Llanquihue","10101","Puerto Montt",1670.35
10,"Los Lagos","101","Llanquihue","10102","Calbuco",587.38
10,"Los Lagos","101","Llanquihue","10103","Cochamó",3981.1
10,"Los Lagos","101","Llanquihue","10104","Fresia",1275.62
10,"Los Lagos","101","Llanquihue","10105","Frutillar",828.25
10,"Los Lagos","101","Llanquihue","10106","Los Muermos",1229.62
10,"Los Lagos","101","Llanquihue","10107","Llanquihue",433.02
10,"Los Lagos","101","Llanquihue","10108","Maullín",822.95
10,"Los Lagos","101","Llanquihue","10109","Puerto Varas",4028.8
10,"Los Lagos","102","Chiloé","10201","Castro",471.38
10,"Los Lagos","102","Chiloé","10202","Ancud",1754.07
10,"Los Lagos","102","Chiloé","10203","Chonchi",1361.08
10,"Los Lagos","102","Chiloé","10204","Curaco de Vélez",79.85
10,"Los Lagos","102","Chiloé","10205","Dalcahue",1229.21
10,"Los Lagos","102","Chiloé","10206","Puqueldón",96.58
10,"Los Lagos","102","Chiloé","10207","Queilén",330.88
10,"Los Lagos","102","Chiloé","10208","Quellón",3360.3
10,"Los Lagos","102","Chiloé","10209","Quemchi",438.3
10,"Los Lagos","102","Chiloé","10210","Quinchao",158.73
10,"Los Lagos","103","Osorno","10301","Osorno",954.57
10,"Los Lagos","103","Osorno","10302","Puerto Octay",1793.82
10,"Los Lagos","103","Osorno","10303","Purranque",1451.58
10,"Los Lagos","103","Osorno","10304","Puyehue",1635.28
10,"Los Lagos","103","Osorno","10305","Río Negro",1281.02
10,"Los Lagos","103","Osorno","10306","San Juan de la Costa",1506.02
10,"Los Lagos","103","Osorno","10307","San Pablo",629.94
10,"Los Lagos","104","Palena","10401","Chaitén",8256.01
10,"Los Lagos","104","Palena","10402","Futaleufú",1236.22
10,"Los Lagos","104","Palena","10403","Hualaihué",2834.53
10,"Los Lagos","104","Palena","10404","Palena",2656.01
11,"Aysén del General Carlos Ibáñez del Campo","111","Coihaique","11101","Coihaique",7280.46
11,"Aysén del General Carlos Ibáñez del Campo","111","Coihaique","11102","Lago Verde",5440.42
11,"Aysén del General Carlos Ibáñez del Campo","112","Aisén","11201","Aisén",29879.3
11,"Aysén del General Carlos Ibáñez del Campo","112","Aisén","11202","Cisnes",15418.3
11,"Aysén del General Carlos Ibáñez del Campo","112","Aisén","11203","Guaitecas",631.38
11,"Aysén del General Carlos Ibáñez del Campo","113","Capitán Prat","11301","Cochrane",8629.21
11,"Aysén del General Carlos Ibáñez del Campo","113","Capitán Prat","11302","O'Higgins",7781.76
11,"Aysén del General Carlos Ibáñez del Campo","113","Capitán Prat","11303","Tortel",19977.3
11,"Aysén del General Carlos Ibáñez del Campo","114","General Carrera","11401","Chile Chico",5739.01
11,"Aysén del General Carlos Ibáñez del Campo","114","General Carrera","11402","Río Ibáñez",6019.41
12,"Magallanes y de la Antártica Chilena","121","Magallanes","12101","Punta Arenas",17771.4
12,"Magallanes y de la Antártica Chilena","121","Magallanes","12102","Laguna Blanca",3567.32
12,"Magallanes y de la Antártica Chilena","121","Magallanes","12104","San Gregorio",6706.74
12,"Magallanes y de la Antártica Chilena","122","Antártica Chilena","12201","Cabo de Hornos",15720.3
12,"Magallanes y de la Antártica Chilena","123","Tierra del Fuego","12301","Porvenir",7457.05
12,"Magallanes y de la Antártica Chilena","123","Tierra del Fuego","12302","Primavera",3946.46
12,"Magallanes y de la Antártica Chilena","123","Tierra del Fuego","12303","Timaukel",11011.8
12,"Magallanes y de la Antártica Chilena","124","Última Esperanza","12401","Natales",48938.2
12,"Magallanes y de la Antártica Chilena","124","Última Esperanza","12402","Torres del Paine",6215.16
13,"Metropolitana de Santiago","131","Santiago","13115","Lo Barnechea",1023.61
13,"Metropolitana de Santiago","132","Cordillera","13202","Pirque",444.71
